xs,ys
307120.49914961896,3390645.133757716
307128.766221903,3390620.9532593978
307136.40963946347,3390596.830755295
307143.4993514908,3390572.7638721205
307150.10530717485,3390548.7502365806
307156.2974557059,3390524.787475387
307162.1457462736,3390500.8732152474
307167.72012806847,3390477.0050828727
307173.09055028047,3390453.1807049722
307178.32696209964,3390429.397708256
307183.49931271595,3390405.6537194327
307188.67755131965,3390381.9463652135
307193.9316271007,3390358.2732723053
307199.3314892493,3390334.632067422
307204.9470869554,3390311.020377268
307210.84836940904,3390287.435828556
307217.10528580047,3390263.8760479954
307223.7765622306,3390240.3383070785
307230.8395693568,3390216.817302349
307238.2358271724,3390193.306595657
307245.9066992942,3390169.799743904
307253.793549339,3390146.2903039893
307261.83774092374,3390122.7718328135
307269.9806376653,3390099.237887279
307278.16360318044,3390075.682024284
307286.32800108596,3390052.0978007293
307294.415194999,3390028.478773517
307302.3665485361,3390004.818499545
307310.12342531444,3389981.110535717
307317.62718895066,3389957.348438931
307324.8192030618,3389933.5257660896
307331.64083126455,3389909.6360740913
307338.03499866073,3389885.6731121955
307343.98093307,3389861.635101751
307349.4943822204,3389837.524762949
307354.59269876376,3389813.345013695
307359.2932353517,3389789.0987718897
307363.6133446361,3389764.788955438
307367.57037926855,3389740.41848224
307371.181691901,3389715.9902702
307374.464635185,3389691.5072372197
307377.4365617724,3389666.9723012024
307380.1148243149,3389642.3883800507
307382.5167754644,3389617.758391668
307384.6597678723,3389593.085253955
307386.56115419057,3389568.371884815
307388.2382870709,3389543.6212021518
307389.7085191651,3389518.836123867
307390.9892031249,3389494.0195678636
307392.09769160196,3389469.174452044
307393.0513372479,3389444.303694311
307393.86749271484,3389419.410212568
307394.56351065414,3389394.4969247156
307395.15674371773,3389369.5667486596
307395.66454455745,3389344.6226022993
307396.1042658248,3389319.6674035396
307396.4932601716,3389294.7040702826
307396.8488802496,3389269.735520429
307397.1884787106,3389244.764671885
307397.52940820635,3389219.7944425507
307397.88902138855,3389194.82775033
307398.2846709088,3389169.867513124
307398.7337094191,3389144.9166488377
307399.25348957104,3389119.9780753716
307399.8613640163,3389095.054710629
307400.5746854069,3389070.149472514
307401.4105317034,3389045.265237524
307402.37667864794,3389020.4034801046
307403.4695590083,3388995.5639650496
307404.68491767003,3388970.7463534772
307406.0184995189,3388945.9503065026
307407.46604944026,3388921.175485242
307409.02331232,3388896.421550814
307410.6860330436,3388871.688164332
307412.44995649677,3388846.9749869145
307414.3108275651,3388822.281679677
307416.2643911342,3388797.607903736
307418.30639208964,3388772.953320208
307420.4325753171,3388748.3175902087
307422.6386857023,3388723.700374857
307424.9204681308,3388699.1013352666
307427.2736674881,3388674.5201325556
307429.69402865996,3388649.956427839
307432.17762375233,3388625.409940545
307434.7316945613,3388600.88238057
307437.37715422764,3388576.377894079
307440.13574985793,3388551.9007758508
307443.0292285593,3388527.4553206647
307446.07933743845,3388503.0458233007
307449.30782360234,3388478.6765785394
307452.7364341578,3388454.351881159
307456.3869162116,3388430.0760259386
307460.2810168708,3388405.85330766
307464.4404832423,3388381.688021102
307468.88706243265,3388357.5844610427
307473.6425015489,3388333.546922263
307478.72854769806,3388309.579699544
307484.16694798676,3388285.6870876616
307489.979449522,3388261.873381399
307496.18703200726,3388238.1426992123
307502.76909887674,3388214.4896068433
307509.6430559825,3388190.89442524
307516.72125199146,3388167.3363133925
307523.9160355703,3388143.794430292
307531.13975538546,3388120.2479349277
307538.30476010387,3388096.67598629
307545.32339839207,3388073.0577433696
307552.1080189168,3388049.3723651576
307558.57097034465,3388025.5990106426
307564.6246013424,3388001.716838817
307570.18126057676,3387977.7050086698
307575.15329671424,3387953.5426791925
307579.45305842167,3387929.2090093736
307582.9928943657,3387904.683158205
307585.6851532129,3387879.9442846775
307587.4421823354,3387854.971559154
307588.1724164365,3387829.778525175
307587.7717503985,3387804.488889829
307586.1335720942,3387779.24838453
307583.15126939607,3387754.2027406986
307578.7182301764,3387729.4976897463
307572.7278423079,3387705.2789630904
307565.0734936629,3387681.692292147
307555.64857211395,3387658.8834083327
307544.38495631324,3387636.9895043145
307531.41378666635,3387616.1035687965
307516.9304905696,3387596.304329128
307501.13052700524,3387577.6705056583
307484.20935495506,3387560.2808187343
307466.35283986444,3387544.2060372527
307447.656456464,3387529.4420111906
307428.16604575154,3387515.9434523885
307407.9269366826,3387503.664648292
307386.9844582123,3387492.55988634
307365.38393929607,3387482.58345398
307343.170708889,3387473.68963865
307320.39009594655,3387465.8327277964
307297.087429424,3387458.967008861
307273.30803827656,3387453.0467692865
307249.09725145955,3387448.0262965155
307224.50039792835,3387443.8598779915
307199.56280663813,3387440.5018011574
307174.3298065443,3387437.906353456
307148.84682324895,3387436.0272726705
307123.16592355113,3387434.780526289
307097.34998411575,3387434.0206031324
307071.46287452866,3387433.596345014
307045.56846437533,3387433.3565937458
307019.73062324163,3387433.15019114
306994.013220713,3387432.8259790065
306968.4801263753,3387432.2327991603
306943.1952098142,3387431.2194934115
306918.2223406152,3387429.634903572
306893.6253883642,3387427.3278714567
306869.4682226467,3387424.147238875
306845.8147130485,3387419.9418476387
306822.7287291552,3387414.560539561
306800.27414055244,3387407.852156454
306778.514816826,3387399.6655401294
306757.5146275615,3387389.849532399
306737.32468978676,3387378.2835719986
306717.90903897776,3387365.056030461
306699.19531875907,3387350.3425934655
306681.11105061806,3387334.319239732
306663.58375604224,3387317.1619479815
306646.54095651885,3387299.046696933
306629.9101735352,3387280.1494653057
306613.6189285787,3387260.6462318217
306597.5947431368,3387240.7129752
306581.7651386968,3387220.5256741615
306566.05763674603,3387200.260307424
306550.39975877176,3387180.092853709
306534.71944692807,3387160.1945131742
306518.950239519,3387140.6729164543
306503.0296514378,3387121.590522097
306486.8952824326,3387103.008824731
306470.48473225156,3387084.9893189897
306453.73560064303,3387067.5934995054
306436.585487355,3387050.882860908
306418.9719921358,3387034.918897832
306400.83271473367,3387019.7631049077
306382.1052548967,3387005.4769767676
306362.72721237305,3386992.122008043
306342.6368295146,3386979.758941174
306321.81687594164,3386968.3963977387
306300.32281020365,3386957.957914152
306278.2167933999,3386948.3591812425
306255.56098663,3386939.5158898383
306232.4175509931,3386931.3437307654
306208.8486475885,3386923.75839485
306184.91643751593,3386916.6755729206
306160.6830818746,3386910.010955805
306136.21074176393,3386903.68023433
306111.5615782832,3386897.5990993227
306086.79775253194,3386891.68324161
306061.98142560956,3386885.8483520197
306037.17475861526,3386880.010121379
306012.4399126486,3386874.084240514
305987.8390488089,3386867.9864002536
305963.4343281956,3386861.632291424
305939.2860478144,3386854.9400096904
305915.41152795573,3386847.8830942744
305891.7850551373,3386840.490601568
305868.3790403715,3386832.794007521
305845.1658946712,3386824.8247880824
305822.11802904884,3386816.6144192014
305799.2078545173,3386808.1943768277
305776.407782089,3386799.5961369122
305753.6902227767,3386790.8511754023
305731.02758759307,3386781.99096825
305708.3922875505,3386773.046991402
305685.756733662,3386764.05072081
305663.0933369398,3386755.033632422
305640.37450839684,3386746.027202189
305617.5726590457,3386737.0629060594
305594.6625606943,3386728.169157123
305571.6607704145,3386719.3201569207
305548.61967358785,3386710.443623895
305525.5928161584,3386701.4657707945
305502.6337440703,3386692.3128103716
305479.79600326787,3386682.910955374
305457.1331396949,3386673.18641855
305434.698699296,3386663.065412651
305412.5462280149,3386652.4741504258
305390.7292717959,3386641.338844622
305369.3013765832,3386629.5857079905
305348.3160883208,3386617.1409532814
305327.82695295295,3386603.9307932416
305307.8875164239,3386589.881440623
305288.5564208275,3386574.9255298506
305269.94467976317,3386559.061688873
305252.1940947102,3386542.3273415575
305235.44686089206,3386524.760407928
305219.8451735321,3386506.3988080104
305205.53122785396,3386487.280461831
305192.64721908077,3386467.443289412
305181.33534243616,3386446.925210783
305171.7377931436,3386425.764145965
305163.99676642637,3386403.9980149865
305158.2544575079,3386381.664737869
305154.6530616117,3386358.8022346413
305153.3347739611,3386335.448425326
305154.3979506846,3386311.6445877817
305157.62873647985,3386287.455913532
305162.6778247038,3386262.9579689256
305169.195360184,3386238.226362323
305176.8314877483,3386213.3367020865
305185.2363522245,3386188.364596579
305194.0600984401,3386163.385654162
305202.95287122286,3386138.475483197
305211.56481540075,3386113.7096920456
305219.54607580137,3386089.1638890705
305226.54679725226,3386064.9136826317
305232.21712458145,3386041.0346810925
305236.2072026165,3386017.602492816
305238.1671761852,3385994.6927261613
305237.7471901153,3385972.3809894924
305234.59738923435,3385950.742891169
305228.382011212,3385929.85267236
305219.07285578694,3385909.754736527
305206.9403497836,3385890.464516253
305192.2672253839,3385871.996250331
305175.33621477,3385854.364177557
305156.43005012395,3385837.5825367267
305135.83146362775,3385821.6655666325
305113.82318746345,3385806.6275060694
305090.6879538131,3385792.4825938325
305066.7084948587,3385779.245068715
305042.16754278244,3385766.9291695133
305017.3478297662,3385755.549135021
304992.53208799206,3385745.1192040322
304968.00226138777,3385735.6025024867
304944.03535477084,3385726.641889129
304920.9064640685,3385717.756444344
304898.8906811009,3385708.464982201
304878.2630976881,3385698.2863167687
304859.29880565027,3385686.7392621185
304842.2728968077,3385673.3426323202
304827.4604629804,3385657.6152414423
304815.09112419776,3385639.214090522
304805.1842470713,3385618.4351323727
304797.6984710379,3385595.7588672806
304792.5924296124,3385571.665813529
304789.82475630945,3385546.636489401
304789.3540846437,3385521.1514131804
304791.13904813,3385495.6911031483
304795.13828028296,3385470.73607759
304801.2975250332,3385446.721427522
304809.45987841615,3385423.720477983
304819.41937149584,3385401.633632412
304830.96973026707,3385380.3602190823
304843.90468072426,3385359.799566267
304858.0179488625,3385339.851002242
304873.1032606764,3385320.4138552784
304888.9543421606,3385301.387453653
304905.3649193098,3385282.671125636
304922.1287181188,3385264.164199503
304939.03946458234,3385245.7660035267
304955.8908846951,3385227.375865982
304972.4784922952,3385208.893900328
304988.689505897,3385190.2604949963
305004.5449925475,3385171.4748221803
305020.07661554514,3385152.5407077437
305035.31603818835,3385133.461977553
305050.29492377565,3385114.242457474
305065.0449356057,3385094.885973374
305079.5977369769,3385075.396351118
305093.98499118775,3385055.7774165715
305108.2383615369,3385036.0329956007
305122.3895113226,3385016.166914073
305136.4701038436,3384996.1829978507
305150.5118229823,3384976.0851280387
305164.55307682295,3384955.8952293782
305178.6486449782,3384935.679157774
305192.8557512172,3384915.509327752
305207.23161930934,3384895.458153838
305221.8334730239,3384875.598050559
305236.71853613004,3384856.0014324384
305251.9440323973,3384836.740714004
305267.5671855947,3384817.888309781
305283.6452194917,3384799.516634295
305300.2353578574,3384781.6981020723
305317.3948244614,3384764.5051276386
305335.1808430727,3384748.010125519
305353.63680642104,3384732.2717442005
305372.73929900955,3384717.28213791
305392.444760168,3384703.0134103764
305412.70962507965,3384689.437661201
305433.4903289283,3384676.526989986
305454.7433068971,3384664.2534963316
305476.4249941698,3384652.5892798407
305498.4918259295,3384641.506440113
305520.90023736,3384630.977076751
305543.60666364443,3384620.973289356
305566.56753996643,3384611.4671775294
305589.7393015094,3384602.4308408718
305613.0783834567,3384593.836378985
305636.54123059486,3384585.655896138
305660.0937635255,3384577.866101032
305683.72912972514,3384570.4569323063
305707.4453366436,3384563.420690129
305731.24039173126,3384556.749674671
305755.1123024382,3384550.4361860985
305779.05907621456,3384544.472524583
305803.07872051053,3384538.8509902926
305827.1692427761,3384533.563883396
305851.32865046174,3384528.6035040626
305875.55495101726,3384523.9621524625
305899.846151893,3384519.632128765
305924.20026053913,3384515.605733137
305948.61528440565,3384511.8752657487
305973.0892309427,3384508.4330267697
305997.62008747674,3384505.2713582506
306022.20525762805,3384502.3838170003
306046.8414850475,3384499.7653333102
306071.52547793643,3384497.4109112415
306096.25394449657,3384495.315554858
306121.02359292953,3384493.4742682236
306145.83113143704,3384491.882055401
306170.67326822045,3384490.533920452
306195.5467114815,3384489.424867439
306220.4481694219,3384488.549900427
306245.3743502432,3384487.904023478
306270.32196214696,3384487.482240655
306295.2877133348,3384487.27955602
306320.2683120083,3384487.2909736373
306345.26046636904,3384487.5114975683
306370.2608846189,3384487.9361318788
306395.2662749591,3384488.5598806273
306420.2733455915,3384489.377747881
306445.27880471776,3384490.384737701
306470.27936053934,3384491.5758541506
306495.27172125777,3384492.946101292
306520.2525950748,3384494.490483187
306545.2186901921,3384496.204003902
306570.1667148111,3384498.0816674978
306595.0933771336,3384500.118478037
306619.995385361,3384502.3094395837
306644.8694476951,3384504.6495562
306669.7122723374,3384507.133831949
306694.52056748956,3384509.757270893
306719.2910413532,3384512.5148770963
306744.02040212986,3384515.4016546216
306768.70535802114,3384518.41260753
306793.3426172288,3384521.5427398877
306817.92888795433,3384524.7870557546
306842.4606969602,3384528.142195558
306866.93234294484,3384531.624894189
306891.3366286298,3384535.2653784533
306915.6663290377,3384539.0941249686
306939.9142191912,3384543.141610352
306964.07307411317,3384547.4383112225
306988.135668826,3384552.014704194
307012.0947783525,3384556.9012658857
307035.9431777153,3384562.1284729154
307059.67364193714,3384567.726801899
307083.2789460408,3384573.7267294554
307106.7518650486,3384580.158732199
307130.08517398353,3384587.053286751
307153.27164786815,3384594.4408697244
307176.30406172515,3384602.35195774
307199.1751905772,3384610.817027412
307221.87780944695,3384619.8665553597
307244.4057336879,3384629.5276010134
307266.7750572142,3384639.7540451726
307289.02327313897,3384650.429478452
307311.1887389442,3384661.4346522656
307333.30981211195,3384672.650318027
307355.4248501243,3384683.9572271467
307377.5722104634,3384695.236131041
307399.79025061114,3384706.367781122
307422.1173280498,3384717.2329288023
307444.59180026123,3384727.712325496
307467.2520247277,3384737.686722616
307490.1363589311,3384747.036871575
307513.2831603536,3384755.6435237867
307536.7227140199,3384763.40508811
307560.44224173145,3384770.3141685734
307584.4146635513,3384776.3946523904
307608.6128900506,3384781.670447535
307633.00983180036,3384786.165461986
307657.5783993717,3384789.903603715
307682.2915033358,3384792.908780698
307707.12205426354,3384795.204900912
307732.04296272615,3384796.8158723298
307757.0271392949,3384797.765602929
307782.0474945406,3384798.078000683
307807.0769390346,3384797.7769735684
307832.0883833477,3384796.886429559
307857.0547380514,3384795.430276632
307881.9489137165,3384793.4324227604
307906.7438209141,3384790.916775921
307931.4123702154,3384787.9072440886
307955.9337843614,3384784.437455696
307980.32525836595,3384780.5995147647
308004.6181191676,3384776.507287843
308028.84371746756,3384772.274678075
308053.0334039674,3384768.0155886034
308077.21852936846,3384763.843922571
308101.4304443722,3384759.8735831203
308125.7004996799,3384756.2184733935
308150.0598882506,3384752.991830509
308174.52391578286,3384750.239811765
308199.07861919515,3384747.88499466
308223.70688395126,3384745.836650501
308248.39159551496,3384744.0040505915
308273.11563935026,3384742.2964662374
308297.8619009208,3384740.6231687414
308322.6132656908,3384738.8934294097
308347.3526191237,3384737.016519545
308372.06339599803,3384734.906011667
308396.73488801124,3384732.5213388302
308421.35992866795,3384729.8496669615
308445.93140071945,3384726.8785475935
308470.4421869168,3384723.595532262
308494.88517001143,3384719.9881724995
308519.2532327544,3384716.0440198416
308543.53925789683,3384711.750625819
308567.73612819007,3384707.095541968
308591.83672638517,3384702.066319822
308615.83393523353,3384696.6505109146
308639.720637486,3384690.835666779
308663.48971589416,3384684.6093389513
308687.13405320904,3384677.959078963
308710.64653218165,3384670.8724383474
308734.02003556356,3384663.3369686417
308757.2474461057,3384655.3402213766
308780.3216693844,3384646.8698472376
308803.2387134063,3384637.926973595
308826.0008040341,3384628.5397376423
308848.61090913904,3384618.7394997957
308871.0719965917,3384608.557620465
308893.3870342633,3384598.0254600667
308915.55899002485,3384587.174379012
308937.5908317472,3384576.0357377147
308959.4855273014,3384564.64089659
308981.2460445585,3384553.02121605
309002.87535138935,3384541.2080565086
309024.3764156649,3384529.2327783774
309045.7523192837,3384517.126819356
309067.0170876797,3384504.9290342666
309088.2046159096,3384492.6917448393
309109.3508998919,3384480.468696685
309130.49193554564,3384468.313635421
309151.6637187897,3384456.280306661
309172.90224554297,3384444.4224560196
309194.2435117241,3384432.793829111
309215.72351325204,3384421.4481715495
309237.37824604585,3384410.4392289505
309259.24370602414,3384399.820746929
309281.3558891058,3384389.646471097
309303.7507912098,3384379.970147072
309326.463460571,3384370.8448831877
309349.50103170495,3384362.3050169274
309372.83883377677,3384354.363497958
309396.45046578255,3384347.0321124746
309420.30952671875,3384340.3226466775
309444.3896155814,3384334.246886761
309468.66433136706,3384328.816618925
309493.1072730716,3384324.0436293646
309517.69203969144,3384319.9397042785
309542.3922302228,3384316.5166298617
309567.181443662,3384313.7861923142
309592.0332790052,3384311.760177832
309616.9213352485,3384310.450372611
309641.8192113885,3384309.868562851
309666.70050642116,3384310.0265347473
309691.53881934274,3384310.936074497
309716.3077491496,3384312.6089682993
309740.9810651537,3384315.056362611
309765.55046742805,3384318.2220524913
309790.04112573154,3384321.9241144042
309814.48187274556,3384325.966866168
309838.90154115134,3384330.1546255997
309863.32896363054,3384334.2917105197
309887.7929728643,3384338.1824387433
309912.32240153395,3384341.6311280914
309936.9460823211,3384344.4420963824
309961.6903711254,3384346.435853095
309986.5530113974,3384347.619958184
310011.513372119,3384348.122092488
310036.55051983555,3384348.071913996
310061.64352109213,3384347.599080693
310086.77144243394,3384346.8332505673
310111.91335040616,3384345.9040816063
310137.0483115537,3384344.9412317956
310162.1554690339,3384344.073924853
310187.22173930856,3384343.387322042
310212.2483910471,3384342.8852301133
310237.2382425069,3384342.5626720767
310262.1941119452,3384342.414670948
310287.1188176192,3384342.436249739
310312.0151777862,3384342.622431463
310336.88601070334,3384342.968239135
310361.734134628,3384343.4686957677
310386.5623678175,3384344.118824373
310411.37352852896,3384344.9136479665
310436.17043501965,3384345.848189561
310460.9559055469,3384346.917472169
310485.73275836796,3384348.1165188043
310510.50381174014,3384349.4403524804
310535.2718839206,3384350.883996212
310560.03979316656,3384352.4424730106
310584.8103178746,3384354.110538008
310609.58513955213,3384355.8755748044
310634.3647323298,3384357.7168529346
310659.14950831555,3384359.6132251197
310683.9398796173,3384361.543544079
310708.73625834315,3384363.4866625355
310733.53905660124,3384365.4214332085
310758.34868649935,3384367.326708819
310783.16556014563,3384369.1813420877
310807.9900896481,3384370.9641857347
310832.8226871149,3384372.6540924823
310857.6637646538,3384374.2299150485
310882.513734373,3384375.670506157
310907.3730083804,3384376.9547185265
310932.24199878424,3384378.061404879
310957.1211176922,3384378.969417934
310982.0107772126,3384379.6576104127
311006.91128208826,3384380.1050388142
311031.8201191157,3384380.2961081197
311056.73174872395,3384380.220967369
311081.64048222604,3384379.870048624
311106.5406309355,3384379.2337839515
311131.4265061653,3384378.302605414
311156.29241922864,3384377.0669450746
311181.1326814387,3384375.5172349983
311205.9416041089,3384373.643907249
311230.71349855216,3384371.4373938893
311255.4426760817,3384368.8881269833
311280.1234480109,3384365.986538596
311304.7501256527,3384362.7230607904
311329.31702032045,3384359.08812563
311353.81844332727,3384355.0721651795
311378.2487059865,3384350.6656115022
311402.6021196111,3384345.8588966615
311426.8729220606,3384340.642640836
311451.05342365144,3384335.012400615
311475.13386479067,3384328.969033596
311499.10438391374,3384322.513658528
311522.9551194554,3384315.6473941584
311546.67620985076,3384308.3713592347
311570.2577935349,3384300.6866725045
311593.69000894285,3384292.594452716
311616.9629945097,3384284.0958186164
311640.06688867044,3384275.191888955
311662.9918298602,3384265.8837824785
311685.727956514,3384256.1726179346
311708.26540706673,3384246.059514071
311730.5943199536,3384235.545589636
311752.7048336097,3384224.6319633774
311774.5870864699,3384213.3197540427
311796.23121696943,3384201.61008038
311817.62736354326,3384189.5040611364
311838.76566462644,3384177.002815061
311859.636258654,3384164.1074609007
311880.22928406106,3384150.8191174027
311900.5348792826,3384137.1389033166
311920.54318275367,3384123.067937389
311940.2443329093,3384108.607338367
311959.6284681846,3384093.7582250005
311978.6857270146,3384078.521716035
311997.4062478343,3384062.89893022
312015.7881710097,3384046.898584142
312033.8844417281,3384030.5814316105
312051.77096969483,3384014.030031262
312069.5237427662,3383997.32701594
312087.21874879795,3383980.555018484
312104.9319756463,3383963.7966717356
312122.7394111672,3383947.134608537
312140.71704321686,3383930.651461728
312158.94085965125,3383914.4298641514
312177.4868483266,3383898.552448648
312196.4309970987,3383883.1018480593
312215.8492938238,3383868.1606952273
312235.81251736963,3383853.8146722433
312256.328961192,3383840.1860390767
312277.3656693448,3383827.4212023737
312298.888955079,3383815.6669965866
312320.8651316457,3383805.070256164
312343.2605122955,3383795.777815556
312366.04141027946,3383787.9365092115
312389.1748256388,3383781.679505505
312412.6376562211,3383776.943021721
312436.4142301087,3383773.515424914
312460.48905590415,3383771.181490066
312484.84664220986,3383769.725992159
312509.47149762826,3383768.9337061755
312534.348130762,3383768.5894070975
312559.46105021355,3383768.4778699074
312584.79473943135,3383768.383941743
312610.32116981805,3383768.1283619804
312635.9795884685,3383767.625743414
312661.7039585851,3383766.8058562884
312687.42824337014,3383765.598470847
312713.08640602615,3383763.933357338
312738.6124097553,3383761.740286002
312763.94021776004,3383758.949027086
312789.0037932428,3383755.4893508353
312813.73709940584,3383751.291027493
312838.07409945154,3383746.283827304
312861.9487565824,3383740.397520514
312885.2950340006,3383733.561877368
312908.0468949085,3383725.706668108
312930.1383025086,3383716.7616629824
312951.5032200032,3383706.656632234
312972.0756105946,3383695.3213461065
312991.7937668048,3383682.691228691
313010.6723778409,3383668.8014737787
313028.7915159726,3383653.7726617036
313046.23336331616,3383637.72812814
313063.0801019883,3383620.791208763
313079.4139141052,3383603.0852392456
313095.3169817834,3383584.73355526
313110.8714871392,3383565.8594924835
313126.1596122892,3383546.586386587
313141.26353934983,3383527.0375732468
313156.2654504373,3383507.336388134
313171.24751268025,3383487.6061466434
313186.2694585901,3383467.9398063715
313201.32351439033,3383448.338977598
313216.3892606938,3383428.788158973
313231.44627811346,3383409.2718491456
313246.47414726217,3383389.7745467657
313261.45244875277,3383370.280750484
313276.3607631981,3383350.7749589486
313291.1786712111,3383331.241670811
313305.8857534045,3383311.6653847187
313320.4615903914,3383292.0305993236
313334.8857627844,3383272.321813275
313349.13785119646,3383252.523525221
313363.1974362405,3383232.6202338133
313377.0440985293,3383212.5964377006
313390.65741867595,3383192.4366355333
313404.01697729307,3383172.1253259606
313417.10235499364,3383151.647007633
313429.8931323905,3383130.9861791995
313442.36889009643,3383110.1273393095
313454.5092087243,3383089.0549866133
313466.29366888717,3383067.753619761
313477.70185119775,3383046.2077374016
313488.71333626896,3383024.4018381857
