xs,ys
307155.2634495812,3390646.166669438
307155.1152216369,3390620.459654128
307155.89699063316,3390595.081432184
307157.55351808906,3390570.008571327
307160.0295655241,3390545.2176392726
307163.2698944571,3390520.6852037376
307167.2192664073,3390496.387832442
307171.822442894,3390472.3020931026
307177.0241854364,3390448.4045534395
307182.7692555536,3390424.6717811693
307189.00241476466,3390401.0803440083
307195.668424589,3390377.606809676
307202.7120465456,3390354.227745892
307210.0780421537,3390330.9197203717
307217.7111729324,3390307.6593008335
307225.55620040104,3390284.4230549964
307233.5578860788,3390261.187550579
307241.6609914846,3390237.929355297
307249.81049900345,3390214.6252145125
307257.96266045904,3390191.260937591
307266.0901417704,3390167.8355357535
307274.1669044836,3390144.349062292
307282.1669101446,3390120.801570499
307290.06412029936,3390097.193113666
307297.832496494,3390073.523745084
307305.4460002747,3390049.793518048
307312.8785931874,3390026.0024858494
307320.10423677805,3390002.1507017794
307327.0968925928,3389978.2382191303
307333.83052217786,3389954.265091196
307340.27908707876,3389930.231371267
307346.4165488421,3389906.137112636
307352.2168690137,3389881.9823685964
307357.6540091395,3389857.7671924382
307362.7019307658,3389833.4916374558
307367.3345954385,3389809.155756941
307371.5308367634,3389784.7598979287
307375.30091443274,3389760.306302184
307378.6675612071,3389735.79796349
307381.6535413485,3389711.23787753
307384.2816191189,3389686.6290399884
307386.57455878006,3389661.9744465486
307388.555124594,3389637.277092892
307390.2460808226,3389612.539974705
307391.670191728,3389587.766087669
307392.85022157175,3389562.9584274674
307393.8089346161,3389538.1199897844
307394.56909512274,3389513.2537703034
307395.1534673537,3389488.3627647064
307395.58481557074,3389463.449968678
307395.8859040362,3389438.518377903
307396.07949701155,3389413.5709880614
307396.1883587589,3389388.610794838
307396.2352535403,3389363.640793918
307396.2429456175,3389338.663980983
307396.2341992523,3389313.6833517165
307396.23177870695,3389288.701901803
307396.2584482432,3389263.722626924
307396.33697212295,3389238.7485227645
307396.49011460814,3389213.782585007
307396.7406399608,3389188.827809335
307397.11131244263,3389163.887191433
307397.6248963158,3389138.9637269834
307398.30415584205,3389114.060411669
307399.1718552833,3389089.180241174
307400.2507589017,3389064.3262111824
307401.563630959,3389039.5013173763
307403.1332357171,3389014.70855544
307404.98224657134,3388989.9509174083
307407.1137781505,3388965.2306100824
307409.4871610939,3388940.548082452
307412.0557791177,3388915.903544747
307414.7730159385,3388891.297207206
307417.5922552727,3388866.7292800616
307420.46688083664,3388842.1999735464
307423.3502763468,3388817.709497897
307426.19582551945,3388793.258063345
307428.9582909089,3388768.844603274
307431.60835012415,3388744.4533131695
307434.1268947092,3388720.058930056
307436.4949840375,3388695.636035544
307438.6936774825,3388671.159211241
307440.70403441763,3388646.603038757
307442.50711421657,3388621.9420997016
307444.0839762525,3388597.1509756823
307445.41570165375,3388572.20426037
307446.5214129464,3388547.097636034
307447.5364801137,3388521.8912278004
307448.61840064527,3388496.6574273813
307449.92467203055,3388471.4686264894
307451.6127917593,3388446.3972168383
307453.84025732125,3388421.515590143
307456.7645662058,3388396.8961381135
307460.54321590276,3388372.6112524653
307465.3203108967,3388348.726031467
307471.077826383,3388325.2172824726
307477.6899987583,3388302.0031414023
307485.0291223156,3388279.0006865645
307492.967491348,3388256.1269962685
307501.3774001486,3388233.29914882
307510.13114301034,3388210.434222528
307519.10101422644,3388187.4492956996
307528.1593080898,3388164.261446645
307537.17970378464,3388140.7933405885
307546.05276934116,3388117.0357756214
307554.68035580637,3388093.025067705
307562.9645204537,3388068.7983647557
307570.8073205566,3388044.3928146907
