xs,ys
307143.2001821629,3390677.0644999496
307137.56666688767,3390657.043718563
307135.39930881263,3390636.1860049483
307136.1581179978,3390614.5845674486
307139.30310450273,3390592.3326144046
307144.29427838715,3390569.5233541583
307150.5916497107,3390546.249995051
307157.65522853326,3390522.605745424
307164.9450249141,3390498.6838136176
307171.9210489133,3390474.5774079743
307178.0655464649,3390450.3781412872
307183.27599706355,3390426.1478310325
307187.817807055,3390401.921893889
307191.9691139023,3390377.7348330086
307196.00805506867,3390353.6211515414
307200.21276801726,3390329.6153526367
307204.86139021144,3390305.7519394467
307210.2320591142,3390282.065415121
307216.60291218886,3390258.5902828095
307224.16168521874,3390235.345306685
307232.6988146016,3390212.2800808875
307241.895625201,3390189.3252031817
307251.43343881326,3390166.4112708014
307260.99357723445,3390143.4688809793
307270.2573622606,3390120.4286309453
307278.9104399582,3390097.222086499
307286.8108725238,3390073.8194317487
307294.04322268476,3390050.2415831187
307300.7074473604,3390026.51290507
307306.90350346995,3390002.6577620693
307312.731347933,3389978.7005185788
307318.29093766876,3389954.665539062
307323.68222959666,3389930.5771879824
307329.0051806359,3389906.4598298026
307334.35583879345,3389882.3370424416
307339.7594928189,3389858.218165739
307345.17991246097,3389834.100160769
307350.57881795877,3389809.9795762105
307355.91792955087,3389785.8529607328
307361.15896747663,3389761.716863016
307366.26365197496,3389737.567831734
307371.1937032848,3389713.4024155615
307375.9108416451,3389689.217163175
307380.37678729475,3389665.008623249
307384.55326047295,3389640.7733444585
307388.40198141854,3389616.5078754798
307391.8846703705,3389592.2087649866
307394.9630475678,3389567.872561656
307397.5988332496,3389543.4958141632
307399.75374765473,3389519.075071183
307401.3910849993,3389494.607007192
307402.51710759616,3389470.0917309625
307403.1851794752,3389445.533115941
307403.45106755494,3389420.9352276283
307403.3705387543,3389396.302131528
307402.99935999204,3389371.637893144
307402.39329818665,3389346.9465779746
307401.608120257,3389322.232251525
307400.6995931219,3389297.4989792956
307399.72348369996,3389272.7508267905
307398.7355589099,3389247.9918595105
307397.79158567055,3389223.226142959
307396.9473309005,3389198.457742636
307396.2585615186,3389173.690724047
307395.7810444435,3389148.929152691
307395.5705465939,3389124.177094072
307395.68283488863,3389099.438613692
307396.17255013343,3389074.717704176
307397.0551374389,3389050.0158215933
307398.29762799665,3389025.3312888965
307399.86405741854,3389000.6622351804
307401.7184613157,3388976.006789536
307403.8248752999,3388951.363081059
307406.1473349825,3388926.72923884
307408.6498759752,3388902.1033919747
307411.29653388937,3388877.4836695553
307414.05134433665,3388852.868200676
307416.8783429285,3388828.25511443
307419.7415652764,3388803.6425399086
307422.60504699196,3388779.028606208
307425.4328236866,3388754.4114424204
307428.18893097196,3388729.7891776394
307430.8374044594,3388705.1599409576
307433.3422797607,3388680.521861469
307435.6686848567,3388655.873173522
307437.8198971138,3388631.215787342
307439.84638943063,3388606.556160673
307441.80156202306,3388581.901033318
307443.7388151077,3388557.257145085
307445.71154890064,3388532.631235775
307447.773163618,3388508.030045193
307449.97705947625,3388483.460313146
307452.37663669145,3388458.9287794363
307455.02529547986,3388434.4421838676
307457.97643605777,3388410.007266247
