xs,ys
307154.54581867106,3390645.2176084514
307154.9661847734,3390620.2315802122
307156.1800828324,3390595.372288514
307158.13113203447,3390570.633514626
307160.76295156614,3390546.0090398183
307164.01916061423,3390521.492645363
307167.8433783653,3390497.0781125305
307172.1792240061,3390472.7592225913
307176.9703167232,3390448.5297568184
307182.1602757033,3390424.38349648
307187.6927201331,3390400.3142228485
307193.5112691991,3390376.3157171933
307199.55954208807,3390352.381760787
307205.7811579866,3390328.5061348993
307212.11973608134,3390304.6826208015
307218.5188955591,3390280.9049997646
307224.92225560633,3390257.1670530597
307231.27352467034,3390233.4625650346
307237.55033232836,3390209.786489845
307243.81516909826,3390186.1367081595
307250.1435797819,3390162.5115508386
307256.6111091818,3390138.909348744
307263.2933020998,3390115.328432736
307270.2657033381,3390091.7671336723
307277.60329214943,3390068.223748806
307285.3196820305,3390044.6929284055
307293.3129280923,3390021.162455083
307301.4683005714,3389997.6193516413
307309.67106970435,3389974.0506408857
307317.80650572735,3389950.443345618
307325.7598788769,3389926.784488643
307333.41645938944,3389903.0610927646
307340.66151750146,3389879.260180787
307347.3844613435,3389855.369284489
307353.54667470825,3389831.3847888755
307359.17059156316,3389807.31058832
307364.28058008966,3389783.150815104
307368.9010084695,3389758.909601516
307373.05624488427,3389734.5910798367
307376.77065751585,3389710.199382354
307380.0686145456,3389685.7386413496
307382.9744841553,3389661.2129891105
307385.51263452665,3389636.6265579197
307387.7074338412,3389611.983480063
307389.5832502807,3389587.2878878242
307391.1644520268,3389562.543913488
307392.47540726105,3389537.7556893397
307393.54048416513,3389512.927347662
307394.38405092084,3389488.063020742
307395.0304757096,3389463.1668408616
307395.5041267132,3389438.2429403076
307395.8293721133,3389413.2954513645
307396.0305800915,3389388.328506316
307396.1321188294,3389363.346237446
307396.1583565088,3389338.3527770406
307396.1336613113,3389313.352257384
307396.08240141853,3389288.3488107603
307396.02894501213,3389263.3465694543
307395.9976602738,3389238.349665752
307396.0129153851,3389213.362231936
307396.0990785277,3389188.3884002906
307396.28051788337,3389163.4323031027
307396.5816016337,3389138.498072655
307397.0266979603,3389113.5898412336
307397.64017504477,3389088.7117411215
307398.446401069,3389063.8679046044
307399.4677403897,3389039.062074465
307400.7035159286,3389014.2935147234
307402.13830443606,3388989.5586230555
307403.75644219696,3388964.853750396
307405.5422654956,3388940.1752476823
307407.48011061666,3388915.51946585
307409.55431384454,3388890.8827558313
307411.7492114638,3388866.261468563
307414.04913975904,3388841.6519549824
307416.43843501474,3388817.0505660237
307418.9014335156,3388792.453652622
307421.4224715458,3388767.857565712
307423.98588539014,3388743.25865623
307426.57601133315,3388718.6532751117
307429.17718565936,3388694.037773292
307431.77374465315,3388669.408501706
307434.3500245991,3388644.761811289
307436.89272130426,3388620.094751751
307439.41689090966,3388595.412771732
307441.95633849193,3388570.72687238
307444.545202557,3388546.048153588
307447.21762161073,3388521.3877152517
307450.0077341591,3388496.756657264
307452.949678708,3388472.1660795193
307456.07759376307,3388447.6270819106
307459.42561783036,3388423.150764331
307463.0278894159,3388398.748226676
307466.91854702536,3388374.4305688385
307471.1317291647,3388350.208890713
307475.70157433976,3388326.094292193
307480.6622210565,3388302.0978731723
307486.04780782084,3388278.2307335446
307491.89247313846,3388254.5039732037
307498.23035551544,3388230.9286920433
307505.09456442937,3388207.51554239
307512.4534796393,3388184.247022849
307520.1733929376,3388161.0612296103
307528.11160575517,3388137.8923485717
307536.1254195228,3388114.67456563
307544.0721356714,3388091.342066683
307551.80905563186,3388067.8290376277
307559.19348083506,3388044.069664364
307566.08271271177,3388019.998132786
307572.33476299944,3387995.550634291
307577.83111562463,3387970.7296322803
307582.4815454994,3387945.617467679
307586.197512148,3387920.301237789
307588.89047509484,3387894.868039917
307590.4718938639,3387869.4049713626
307590.85322797956,3387843.9991294327
307589.94593696616,3387818.737611429
307587.66148034774,3387793.7075146567
307583.92865220876,3387768.9962079152
307578.7546210184,3387744.692287527
307572.16869472776,3387720.884696569
307564.2001826207,3387697.662378135
307554.8783939815,3387675.114275322
307544.2326380944,3387653.3293312276
307532.29222424346,3387632.3964889455
307519.08646171284,3387612.404691573
307504.6446597869,3387593.442882208
307488.9961277497,3387575.6000039447
307472.17017488554,3387558.9649998806
307454.19611047837,3387543.626813111
307435.10479264654,3387529.6701726294
307414.9576815319,3387517.09654477
307393.84428520553,3387505.8310824363
307371.8551485377,3387495.796117587
307349.0808163988,3387486.9139821813
307325.6118336591,3387479.10700818
307301.5387451887,3387472.2975275395
307276.952095858,3387466.4078722205
307251.9424305371,3387461.3603741815
307226.60029409634,3387457.077365382
307201.0162314061,3387453.481177781
307175.2807873364,3387450.494143337
307149.4845067577,3387448.03859401
307123.7179345402,3387446.0368617577
307098.07161555416,3387444.4112785417
307072.6360946698,3387443.084176319
307047.4997690843,3387441.975393679
307022.6996101322,3387440.9450656455
306998.22000993026,3387439.7922846763
306974.04298221454,3387438.313382015
306950.1505407219,3387436.3046889068
306926.52469918865,3387433.562536595
306903.1474713513,3387429.8832563227
306880.0008709465,3387425.0631793365
306857.0669117104,3387418.8986368785
306834.34510372614,3387411.2304376676
306811.9147478629,3387402.1022266415
306789.8778780441,3387391.615438448
306768.33652985736,3387379.8715119683
306747.3927388906,3387366.971886081
306727.1485407317,3387353.0179996695
306707.7059159676,3387338.1112898234
306689.1193900154,3387322.351648259
306671.30936812394,3387305.834599095
306654.17272838275,3387288.6549002896
306637.60634888144,3387270.9073098013
306621.5071077097,3387252.6865855884
306605.7718829571,3387234.087485609
306590.29755271325,3387215.2047678228
306574.9809950675,3387196.1331901867
306559.7190881098,3387176.9675106592
306544.40870992956,3387157.802487199
306528.9467386165,3387138.7328777653
306513.2300522602,3387119.853440316
306497.1648137201,3387101.2588846833
306480.70308326016,3387083.0436827904
306463.8110781155,3387065.3022331824
306446.45501954993,3387048.128934381
306428.60112882726,3387031.618184908
306410.2156272113,3387015.8643832863
306391.2647359661,3387000.9619280403
306371.71467635524,3386987.0052176896
306351.53166964266,3386974.088650759
306330.6819370923,3386962.30662577
306309.1316999678,3386951.753541244
306286.84722452395,3386942.5236967
306263.8291623032,3386934.6357252644
306240.17383524065,3386927.897733005
306215.9940713738,3386922.0815035617
306191.40269873966,3386916.95882057
306166.5125453758,3386912.3014676715
306141.4364393196,3386907.881228504
306116.28720860806,3386903.469886704
306091.1776812788,3386898.8392259125
306066.21992238663,3386893.7628540476
306041.4825126492,3386888.1183495126
306016.96791935636,3386881.9413670576
305992.67307046056,3386875.2808059137
305968.59489391407,3386868.1855653143
305944.7303176692,3386860.7045444893
305921.0762696784,3386852.886642673
305897.62967789406,3386844.7807590957
305874.3874702684,3386836.4357929914
305851.34596357273,3386827.899956974
305828.4880189472,3386819.2063472643
305805.7833678393,3386810.373309851
305783.2011957153,3386801.418577356
305760.7106880414,3386792.3598824
305738.2810302838,3386783.214957603
305715.88140790863,3386774.0015355856
305693.4810063822,3386764.737348971
305671.0490111707,3386755.4401303763
305648.5546077403,3386746.127612424
305625.9669815573,3386736.8175277365
305603.2553180878,3386727.5276089325
305580.3888027981,3386718.2755886335
305557.3366211544,3386709.0791994603
305534.0729360012,3386699.952015387
305510.6461073746,3386690.8456179197
305487.16147002793,3386681.663985648
305463.7258160989,3386672.3098795
305440.44593772513,3386662.686060401
305417.42862704425,3386652.695289283
305394.78067619394,3386642.24032707
305372.60887731187,3386631.223934691
305351.0200225357,3386619.5488730757
305330.12090400304,3386607.11790315
305310.0183138516,3386593.8337858445
305290.8190442191,3386579.599282085
305272.62988724303,3386564.3171527996
305255.5576350612,3386547.8901589173
305239.7076727499,3386530.2449397887
305225.17735876376,3386511.444349918
305212.06120970496,3386491.599471236
305200.45373886556,3386470.821441861
305190.4494595371,3386449.221399905
305182.14288501145,3386426.9104834856
305175.6285285803,3386403.9998307154
305171.00090353546,3386380.600579711
305168.3545231687,3386356.8238685867
305167.7839007719,3386332.7808354576
305169.3835496366,3386308.5826184377
305173.2479830547,3386284.340355643
305179.471714318,3386260.1651851884
305188.1260977098,3386236.1642997586
305198.87292518787,3386212.375117886
305211.0229968554,3386188.7752621872
305223.8757554268,3386165.3404203975
305236.73064361716,3386142.0462802546
305248.8871041412,3386118.8685294967
305259.6445797134,3386095.7828558586
305268.30251304904,3386072.764947081
305274.16052376345,3386049.7905364987
305276.7118862145,3386026.885276986
305276.0131310476,3386004.220015326
305272.22262582567,3385981.991849418
305265.4987381118,3385960.3978771535
305255.9998354689,3385939.635196429
305243.88428545976,3385919.900905138
305229.3104556475,3385901.3921011765
305212.43973826466,3385884.3016645885
305193.5529918847,3385868.6558816317
305173.08736389293,3385854.263096475
305151.490557885,3385840.9169328273
305129.2102774567,3385828.4110143976
305106.69422620384,3385816.5389648955
305084.3878288003,3385805.095128113
305062.5242632255,3385793.940912398
305040.95487419574,3385783.0583757027
305019.4910985784,3385772.442185843
304997.9443732408,3385762.087010637
304976.1261350504,3385751.9875179017
304953.8478208742,3385742.1383754527
304930.92125825107,3385732.534060335
304907.3831645528,3385723.0592303337
304883.8716507016,3385713.3048679354
304861.12428612536,3385702.8133875825
304839.8786402519,3385691.1272037164
304820.8722825091,3385677.7887307797
304804.84278232476,3385662.3403832144
304792.50359692826,3385644.345278493
304784.03913190163,3385623.820784304
304779.11854687316,3385601.226664819
304777.38965101575,3385577.041015972
304778.5002535025,3385551.741933698
304782.09816350625,3385525.807513929
304787.8311902003,3385499.7158526
304795.34714275715,3385473.9450456444
304804.2939468135,3385448.972915955
304814.3815207542,3385425.1319466787
304825.48362571315,3385402.37049762
304837.5007786697,3385380.574200476
304850.33349660353,3385359.6286869445
304863.8822964938,3385339.4195887223
304878.04769532004,3385319.8325375086
304892.73021006165,3385300.7531649987
304907.8303576982,3385282.067102893
304923.2486552089,3385263.6599828857
304938.8856195733,3385245.417436678
304954.64176777075,3385227.225095964
304970.4176167809,3385208.968592446
304986.1153433946,3385190.535654718
305001.6832853955,3385171.8723282665
305017.1208687491,3385152.9892001636
305032.43016784854,3385133.9002033323
305047.61325708707,3385114.6192707005
305062.6722108581,3385095.1603351953
305077.60910355503,3385075.537329744
305092.42600957095,3385055.7641872717
305107.1250032994,3385035.8548407056
305121.70815913356,3385015.8232229725
305136.1775514668,3384995.6832669987
305150.5352546924,3384975.4489057125
305164.7836545006,3384955.134339172
305178.9497147802,3384934.774858879
305193.1023424694,3384914.441749168
305207.314542872,3384894.2098113303
305221.65932129166,3384874.1538466583
305236.20968303224,3384854.3486564416
305251.03863339755,3384834.869041973
305266.2191776913,3384815.789804543
305281.8243212175,3384797.1857454437
305297.9270692796,3384779.131665966
305314.6004271817,3384761.702367402
305331.91740022745,3384744.972651044
305349.95098924125,3384729.017314147
305368.74844691536,3384713.8879718264
305388.2707143051,3384699.5585291376
305408.46066739515,3384685.986626375
305429.2611821704,3384673.129903837
305450.6151346159,3384660.946001822
305472.46540071676,3384649.3925606273
305494.75485645764,3384638.42722055
305517.42637782363,3384628.0076218876
305540.4228407999,3384618.09140494
305563.6871213711,3384608.6362100025
305587.1620955224,3384599.5996773723
305610.7906392386,3384590.9394473494
305634.5156285048,3384582.6131602298
305658.28033223154,3384574.5788123175
305682.05162459746,3384566.815787224
305705.8329850468,3384559.3366343807
305729.63104386337,3384552.156758003
305753.452431331,3384545.2915623086
305777.30377773364,3384538.756451513
305801.1917133552,3384532.566829834
305825.1228684796,3384526.7381014875
305849.10387339065,3384521.2856706907
305873.14135837206,3384516.2249416574
305897.2419537081,3384511.5713186096
305921.41228968225,3384507.3402057574
305945.65899657883,3384503.547007322
305969.9887046813,3384500.2071275176
305994.40804427385,3384497.335970562
306018.92363379407,3384494.9488943187
306043.5383290091,3384493.0465335497
306068.24587235943,3384491.593863133
306093.03865358746,3384490.550564919
306117.90906243556,3384489.8763207584
306142.849488646,3384489.5308125033
306167.8523219615,3384489.4737220034
306192.9099521243,3384489.6647311123
306218.0147688768,3384490.063521678
306243.1591619616,3384490.6297755563
306268.3355211208,3384491.323174594
306293.5362360971,3384492.103400645
306318.7536966328,3384492.9301355593
306343.98029247037,3384493.763061189
306369.2084133522,3384494.561859385
306394.4304490207,3384495.286211999
306419.63878921827,3384495.8958008806
306444.8258578309,3384496.351030479
306469.9856500624,3384496.6455597854
306495.1143558807,3384496.819496625
306520.2083284677,3384496.916402997
306545.2639210052,3384496.9798408984
306570.27748667495,3384497.0533723277
306595.2453786588,3384497.1805592836
306620.16395013867,3384497.404963764
306645.02955429634,3384497.7701477665
306669.83854431356,3384498.319673289
306694.5872733722,3384499.097102331
306719.27209465404,3384500.145996888
306743.8893613411,3384501.5099189617
306768.4354266149,3384503.232430547
306792.90664365754,3384505.3570936443
306817.2993656506,3384507.92747025
306841.60994577594,3384510.987122362
306865.8347800558,3384514.5789893935
306889.9719744227,3384518.721160963
306914.02188213606,3384523.3990667537
306937.98500930157,3384528.5959151573
306961.8618620249,3384534.2949145725
306985.65294641163,3384540.479273391
307009.35876856744,3384547.132200009
307032.97983459797,3384554.236902822
307056.516650609,3384561.7765902253
307079.96972270595,3384569.7344706124
307103.3395569946,3384578.09375238
307126.6266595806,3384586.8376439232
307149.8315365695,3384595.9493536353
307172.9546940672,3384605.4120899136
307195.99663817906,3384615.2090611514
307218.95787501085,3384625.323475745
307241.8389106683,3384635.7385420892
307264.6413145245,3384646.4330278356
307287.3779940171,3384657.3383471766
307310.06871353695,3384668.3572762106
307332.73333283927,3384679.3921927456
307355.3917116797,3384690.3454745887
307378.0637098136,3384701.119499548
307400.7691869967,3384711.616645433
307423.5280029843,3384721.739290051
307446.36001753213,3384731.3898112094
307469.2850903956,3384740.470586717
307492.3230813302,3384748.8839943823
307515.4938500915,3384756.532412013
307538.81725643494,3384763.3182174168
307562.3116034432,3384769.15176813
307585.9772433227,3384774.03544046
307609.80301576,3384778.030625541
307633.7775716292,3384781.1996823912
307657.88956180436,3384783.6049700254
307682.12763715954,3384785.3088474614
307706.4804485686,3384786.3736737138
307730.93664690584,3384786.8618078
307755.484883045,3384786.835608735
307780.1138078604,3384786.357435538
307804.81207222596,3384785.489647223
307829.56832701556,3384784.294602806
307854.37122310343,3384782.834661305
307879.2094113636,3384781.1721817353
307904.0715426699,3384779.3695231127
307928.9462678966,3384777.489044455
307953.8222379177,3384775.5931047774
307978.68833007925,3384773.7422090927
308003.538378143,3384771.956286943
308028.3710359686,3384770.2158083557
308053.18515661784,3384768.499612604
308077.9795931522,3384766.7865389558
308102.7531986333,3384765.0554266833
308127.5048261231,3384763.2851150576
308152.23332868284,3384761.4544433476
308176.9375593745,3384759.542250826
308201.6163712595,3384757.527376763
308226.2686173996,3384755.388660429
308250.89315085637,3384753.1049410943
308275.4888246917,3384750.655058031
308300.0544919669,3384748.017850508
308324.5890057438,3384745.172157796
308349.091219084,3384742.0968191675
308373.55998504924,3384738.7706738934
