xs,ys
307203.3766233765,3390518.1733483896
307199.27724449453,3390481.643139469
307197.12948378845,3390447.0881749834
307196.7870268556,3390414.345151417
307198.10355929343,3390383.2507652547
307200.93276669935,3390353.64171298
307205.1283346706,3390325.3546910775
307210.5439488048,3390298.2263960317
307217.03329469915,3390272.0935243266
307224.45005795115,3390246.792772447
307232.64792415354,3390222.160836823
307241.8764302013,3390197.7803203147
307250.11441647133,3390173.7920888662
307259.57829355536,3390149.9999999492
307269.7777051277,3390126.207911032
307278.5452762293,3390102.2196795824
307287.99934618693,3390077.839163074
307297.5514874095,3390052.870218975
307306.6132723065,3390027.1167047545
307317.3030402045,3390000.3824778823
307327.45341614436,3389972.471395829
307334.8970251669,3389943.187316065
307341.75220659876,3389912.3340960583
307350.1372997665,3389882.422360197
307357.8849297109,3389851.6770185824
307364.50474010647,3389819.999999949
307372.2131415449,3389789.999999949
307378.9408303321,3389759.9999999483
307384.2955214076,3389729.999999949
307390.5916966283,3389699.999999949
307395.8581235652,3389669.999999949
307399.800588423,3389639.999999949
307402.1248774063,3389609.999999949
307405.2435436371,3389579.999999948
307407.2834259516,3389549.999999949
307408.0483818195,3389519.9999999483
307410.049035628,3389489.999999949
307411.51029747823,3389459.999999949
307412.33409610525,3389429.9999999483
307412.42236024386,3389399.9999999492
307411.6770186289,3389369.9999999492
307409.9999999954,3389339.999999949
307409.9999999954,3389309.9999999483
307409.9999999954,3389279.9999999483
307409.9999999954,3389249.999999949
307409.9999999954,3389219.999999949
307409.9999999954,3389189.999999949
307408.3229813619,3389159.999999949
307407.57763974695,3389129.9999999483
307407.66590388556,3389099.9999999492
307408.48970251257,3389069.9999999497
307409.9509643628,3389039.9999999492
307411.95161817124,3389009.9999999492
307414.3935926727,3388979.999999949
307417.1788166021,3388949.999999949
307420.20921869425,3388919.999999949
307423.3867276841,3388889.9999999483
307424.936253673,3388859.9999999483
307427.368421048,3388829.999999949
307430.4870872788,3388799.9999999483
307434.0961098352,3388769.9999999483
307437.999346187,3388739.9999999497
307442.0006538038,3388709.9999999492
307445.9038901555,3388679.9999999497
307449.51291271194,3388649.999999949
307452.63157894276,3388619.999999949
307453.3867276842,3388589.999999949
307454.1909120581,3388559.999999949
307457.45668518654,3388529.999999949
307459.63386727223,3388499.9999999483
307463.135011437,3388469.999999948
307467.66590388556,3388439.9999999492
307471.25531218894,3388409.999999949
307476.21771820396,3388379.9999999483
307480.48381823656,3388349.9999999483
307486.27002287866,3388319.9999999483
307493.0859758045,3388289.9999999492
307500.44132068835,3388259.9999999492
307510.5524681221,3388229.999999949
307521.3501144118,3388199.9999999492
307530.7649558633,3388169.999999949
307541.01340306824,3388139.9999999483
307551.6050997011,3388109.9999999483
307563.72670806985,3388079.999999948
307574.27917619667,3388049.9999999483
307582.8702190211,3388019.9999999483
307589.10755148274,3387989.9999999483
307595.3056554383,3387959.999999949
307599.49329845887,3387929.9999999492
307603.0532853827,3387898.322981315
307605.7894736795,3387867.5776397004
307607.6037920842,3387835.9888852057
307605.78947367956,3387806.067342218
307604.7303040164,3387775.9398495727
307600.2386400738,3387748.0189603935
307596.89440993324,3387720.33344225
307590.70611310424,3387695.197777
307583.7430532808,3387670.542660949
307575.4658385047,3387646.9074860546
307563.75612944947,3387626.410591645
307550.8793723393,3387606.786531495
307539.1990846635,3387590.0555736655
307526.8911408911,3387573.8542006677
307513.90650538926,3387558.4275906645
307497.58744687337,3387543.922850553
307479.66001960955,3387532.0660346
307460.27133049554,3387520.1994115217
307439.66655769385,3387508.273945682
307418.1889506328,3387496.142530187
307396.2798300052,3387483.559986872
307371.77182085183,3387472.8898332273
307346.8813337646,3387462.111801191
307319.5390650494,3387453.491336987
307292.05949656287,3387444.910101289
307262.4713958764,3387438.535469056
307233.18731611175,3387432.1510296967
307202.3340961051,3387429.5031055384
307172.4223602438,3387425.6685190722
307141.67701862886,3387422.7165739923
307109.99999999534,3387421.039555359
307078.3229813619,3387419.999999949
307047.57763974695,3387418.960444539
307017.6659038855,3387415.606407272
306986.81268387905,3387413.5861392105
306957.5286041143,3387410.5851584985
306927.9405034279,3387408.672768828
306900.4609349414,3387402.9257926918
306873.11866622604,3387397.090552417
306848.2281791388,3387388.9506374123
306823.72016998555,3387380.6734226365
306801.8110493579,3387370.1405687626
306780.3334422968,3387359.617522015
306761.4056881287,3387347.084014332
306742.76234062953,3387334.9035632047
306726.4236678607,3387321.1539718355
306710.0261523327,3387308.2968289778
306695.49199084204,3387294.508009102
306680.35959463415,3387279.6404053103
306666.4530892402,3387263.5469107036
306651.2128146406,3387248.787185303
306636.36482510157,3387233.635174842
306621.9581562556,3387218.041843688
