xs,ys
307135.5618294749,3390511.2224731804
307148.97797854315,3390491.6826651623
307161.1397069749,3390471.0226158295
307172.1863948408,3390449.360555541
307182.25742221164,3390426.814714654
307191.492169158,3390403.503323528
307200.03001575085,3390379.5446125213
307208.0103420607,3390355.056811992
307215.5725281584,3390330.1581522995
307222.8559541146,3390304.9668638012
307229.99999999534,3390279.601176804
307238.62046419934,3390255.3481529397
307244.975482179,3390230.1144164247
307253.7920889133,3390206.2144491146
307262.8048381778,3390181.677018582
307271.4253023817,3390156.207911032
307280.0948022183,3390132.2196795833
307289.25465838047,3390107.8391630733
307298.3164432774,3390082.870218974
307309.3984962359,3390057.1167047545
307318.65642366314,3390030.382477883
307328.2085648858,3390002.471395829
307337.4664923131,3389973.1873160643
307345.84177835425,3389942.3340960587
307355.452762336,3389912.4223601967
307364.13206929906,3389881.6770185814
307371.3893429179,3389849.9999999492
307379.4409937842,3389819.999999949
307386.21771820396,3389789.999999949
307391.32723111665,3389759.9999999483
307397.0840143792,3389729.999999949
307401.5168355626,3389699.999999949
307404.3314808715,3389669.999999949
307407.9405034279,3389639.999999949
307410.47074206796,3389609.999999949
307411.7260542615,3389579.999999948
307411.51029747823,3389549.999999949
307412.33409610525,3389519.9999999483
307412.42236024386,3389489.999999949
307411.6770186289,3389459.999999949
307409.9999999954,3389429.9999999483
307409.9999999954,3389399.9999999492
307409.9999999954,3389369.9999999492
307409.9999999954,3389339.999999949
307409.9999999954,3389309.9999999483
307409.9999999954,3389279.9999999483
307409.9999999954,3389249.999999949
307409.9999999954,3389219.999999949
307409.9999999954,3389189.999999949
307408.3229813619,3389159.999999949
307407.57763974695,3389129.9999999483
307407.66590388556,3389099.9999999492
307408.48970251257,3389069.9999999497
307409.9509643628,3389039.9999999492
307411.95161817124,3389009.9999999492
307414.3935926727,3388979.999999949
307417.1788166021,3388949.999999949
307420.20921869425,3388919.999999949
307423.3867276841,3388889.9999999483
307426.61327230657,3388859.9999999483
307428.11376266286,3388829.999999949
307430.3988231402,3388799.9999999483
307433.2723112082,3388769.9999999483
307436.5380843367,3388739.9999999497
307439.99999999534,3388709.9999999492
307443.461915654,3388679.9999999497
307446.7276887825,3388649.999999949
307449.6011768505,3388619.999999949
307451.8862373278,3388589.999999949
307451.7097090506,3388559.999999949
307454.1909120581,3388529.999999949
307457.45668518654,3388499.9999999483
307459.63386727223,3388468.3229813143
307463.135011437,3388437.5776397004
307467.66590388556,3388407.6659038384
307471.25531218894,3388378.489702466
307476.21771820396,3388349.950964316
307480.48381823656,3388321.9516181243
307486.27002287866,3388294.3935926263
