xs,ys
307197.1400338792,3390454.438170525
307198.3173348391,3390418.4923771876
307201.0989925407,3390385.371927843
307205.33279839915,3390354.752295759
307210.8665438299,3390326.3089542035
307217.54802024824,3390299.717376445
307225.2250190694,3390274.6530357515
307233.7453317087,3390250.791405391
307242.95674958144,3390227.8079586313
307252.7070641029,3390205.3781687417
307262.84406668384,3390183.177508938
307273.8280483771,3390159.434455654
307283.1840470696,3390135.3971885727
307293.03040208755,3390110.8695651656
307302.7786858404,3390085.6554429033
307311.84047073737,3390059.558679256
307320.6570774716,3390032.3831316913
307329.66982673603,3390003.9326576795
307338.2902909401,3389974.011114692
307345.93004249287,3389942.422360197
307354.70742072107,3389911.677018582
307362.45505066554,3389879.9999999483
307371.3893429179,3389849.9999999492
307379.4409937842,3389819.999999949
307386.21771820396,3389789.999999949
307391.32723111665,3389759.9999999483
307397.0840143792,3389729.999999949
307401.5168355626,3389699.999999949
307404.3314808715,3389669.999999949
307407.9405034279,3389639.999999949
307410.47074206796,3389609.999999949
307411.7260542615,3389579.999999948
307411.51029747823,3389549.999999949
307412.33409610525,3389519.9999999483
307412.42236024386,3389489.999999949
307411.6770186289,3389459.999999949
307409.9999999954,3389429.9999999483
307409.9999999954,3389399.9999999492
307409.9999999954,3389369.9999999492
307409.9999999954,3389339.999999949
307409.9999999954,3389309.9999999483
307409.9999999954,3389279.9999999483
307408.3229813619,3389249.999999949
307407.57763974695,3389219.999999949
307407.66590388556,3389189.999999949
307408.48970251257,3389159.999999949
307409.9509643628,3389129.9999999483
307411.95161817124,3389099.9999999492
307414.3935926727,3389069.9999999497
307417.1788166021,3389039.9999999492
307420.20921869425,3389009.9999999492
307423.3867276841,3388979.999999949
307426.61327230657,3388949.999999949
307429.7907812964,3388919.999999949
307432.8211833886,3388889.9999999483
307435.606407318,3388859.9999999483
307436.3713631859,3388829.999999949
307437.62667537946,3388799.9999999483
307439.17620136833,3388769.9999999483
307440.82379862235,3388739.9999999497
307442.3733246112,3388709.9999999492
307443.62863680476,3388679.9999999497
307444.39359267266,3388649.999999949
307447.1788166021,3388619.999999949
307448.53220006067,3388589.999999949
307450.96436743566,3388559.999999949
307454.2791761967,3388529.999999949
307458.28048381355,3388499.9999999483
307461.0951291225,3388468.3229813143
307465.13566524547,3388437.5776397004
307470.10787838703,3388407.6659038384
307474.0405361183,3388376.812683832
307479.24812029616,3388347.528604067
307485.33834585996,3388319.617522015
307490.241909116,3388292.883295144
307496.17522065574,3388267.129780923
307502.6479241536,3388242.1608368238
307511.8764302012,3388217.7803203156
307520.1144164713,3388193.7920888667
307529.5782935553,3388169.999999949
307539.7777051277,3388146.207911031
307550.2222948629,3388122.219679582
307560.42170643527,3388097.839163074
307569.8855835193,3388072.870218974
307578.12356978934,3388047.116704754
307589.0290944706,3388020.3824778823
307597.9241582169,3387992.471395829
307604.51454723295,3387963.1873160647
307610.18306635687,3387930.6570774256
307614.7335730584,3387899.999999949
307616.3909774389,3387869.342922472
307616.73422686686,3387836.8126838324
307615.76332134224,3387807.5286040683
307613.57633213006,3387777.940503381
307609.3396534769,3387748.783916261
307603.34749917814,3387722.373324564
307595.99215429416,3387696.6394245974
307585.0572082334,3387673.798626951
307572.71003595483,3387651.683556666
307561.21608368284,3387630.7355344365
307546.97613598744,3387612.9748283243
307532.4517816233,3387596.0379208378
307517.49591369263,3387581.847008775
307502.05949656275,3387567.9405033807
307486.1915658665,3387554.4655115535
307470.0392285013,3387541.471068925
307451.14089571295,3387528.908139863
307431.41876429727,3387516.6296174712
307411.2160836829,3387504.390323584
307388.26740764495,3387494.5537756924
307364.6910755102,3387485.099705735
307341.02647923696,3387475.5867930185
307315.2043151311,3387469.8594311355
307289.5390650493,3387463.0925138425
307262.05949656287,3387457.4534160974
307232.4713958764,3387453.432494228
307203.18731611164,3387448.8133376404
307172.3340961052,3387447.342268664
307142.4223602438,3387444.096109788
307111.67701862886,3387441.1441647084
307078.3229813619,3387440.5557371182
307047.57763974695,3387437.4076495077
307015.988885252,3387435.4462242057
306986.06734226417,3387429.7482837024
306955.9398496194,3387424.0601503253
306928.01896043995,3387416.165413483
306900.33344229683,3387408.2314481344
306875.19777704665,3387398.139914954
306850.5426609956,3387388.156260165
306828.58450473537,3387376.2602157057
306807.1559333069,3387364.815299066
306788.3752860365,3387351.8993134494
306769.9771167002,3387339.9738476113
306752.30467472563,3387326.185027736
306737.2801569093,3387310.3857469247
306722.4419744968,3387295.135665199
306709.6142530192,3387278.7087282916
306696.23733245686,3387263.762667487
306684.0372670761,3387245.9627328673
306670.356325592,3387229.6436743517
306656.82249100547,3387213.1775089377
306643.3867276841,3387196.613272259
306629.99999999534,3387179.9999999492
306616.6132723066,3387163.386727638
306603.1775089853,3387146.8224909594
306589.6436743988,3387130.3563255463
306575.9627329146,3387114.0372670293
306563.7626675338,3387097.914351044
